title,locality,city,bhk_raw,price_raw,price_per_sqft_raw,area_raw,floor_raw,furnishing_raw,society_raw,listing_url,scraped_at
"1 BHK Flat for Sale in Koproli, Navi Mumbai",,Navi Mumbai,,"₹
36 Lac",,454 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=23",2026-05-19T01:38:38.580405
"1 BHK Flat for Sale in Dhara Corner, Taloja, Navi Mumbai",,Navi Mumbai,,"₹
39 Lac",,410 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=24",2026-05-19T01:38:53.049438
"1 BHK Flat for Sale in Gurudev Tower, Ulwe, Navi Mumbai",,Navi Mumbai,,"₹
65 Lac",,491 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=25",2026-05-19T01:39:08.399204
"1 BHK Flat for Sale in Future Darshan, Karanjade, Navi Mumbai",,Navi Mumbai,,"₹
42 Lac",,464 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=26",2026-05-19T01:39:25.095474
"1 BHK Flat for Sale in Sujata Empress, Kharghar, Navi Mumbai",,Navi Mumbai,,"₹
58 Lac",,407 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=27",2026-05-19T01:39:41.497693
"2 BHK Flat for Sale in Konnark River City, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
51 Lac",,720 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=28",2026-05-19T01:39:55.703945
"2 BHK Flat for Sale in Vishesh Balaji Symphony, New Panvel East, Navi Mumbai",,Navi Mumbai,,"₹
82 Lac",,760 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=29",2026-05-19T01:40:08.475319
"2 BHK Flat for Sale in Radhey Heritage, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
46 Lac",,666 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=30",2026-05-19T01:40:21.922192
"1 BHK Flat for Sale in Lakhanis Oasis, Ulwe, Navi Mumbai",,Navi Mumbai,,"₹
50 Lac",,479 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=31",2026-05-19T01:40:39.646207
"4 BHK Flat for Sale in National Regency, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
1.60 Cr",,1354 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=32",2026-05-19T01:40:55.339618
"1 BHK Flat for Sale in Hiranandani Fortune City, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
75 Lac",,454 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=33",2026-05-19T01:41:12.637883
